"  145   192   191  Cassandra Raia, So           196    13:15     25:23    6:48  New Jersey Institute "
"  112   193        Neus Quinonero, Sr           189    12:47     25:25    6:49  Maryland-Eastern Shor "
"  262   194   192  Kaya Knake, Jr               188    12:46     25:28    6:49  Umbc                 "
"  142   195   193  Chloe Jelley, Jr             195    13:15     25:32    6:50  New Jersey Institute "
"  100   196   194  Abigail Short, Jr            199    13:19     25:44    6:54  Marshall             "
"   99   197   195  Audreana Lewis, Jr           198    13:17     25:49    6:55  Marshall             "
"  261   198   196  Margo Henley, Fr             194    13:11     26:00    6:58  Umbc                 "
"  140   199   197  Kelly Dicristina, So         197    13:17     26:05    6:59  New Jersey Institute "
"   96   200   198  Alexandra Evans, Fr          200    13:28     26:26    7:05  Marshall             "
"  144   201   199  Sarah Morgan, Jr             201    13:50     26:56    7:13  New Jersey Institute "
"  146   202   200  Allison Regan, Jr            203    14:04     27:09    7:17  New Jersey Institute "
"  195   203   201  Michaela Pampin, So          202    13:52     27:32    7:23  Rider                "
"  147   204   202  Emily Shibata, Sr            204    14:14     27:54    7:29  New Jersey Institute "
"  143   205   203  Michelle Ling, Sr            205    14:18     28:03    7:31  New Jersey Institute "
