Race,Place,Bib Number,Name,School,1k,2k,3k,4k,5k,Finish,Total Time,Pace
Great Lakes Regional,66,510,Shelby Nolan (JR),Wright State (WRST),3:26,3:38,3:45,3:40,3:44,3:43,22:00.0,5:54
Great Lakes Regional,67,236,Mary Hanson (SR),Marquette (MARQ),3:24,3:36,3:48,3:42,3:45,3:42,22:01.1,5:54
Great Lakes Regional,68,424,Jennifer Lichter (SR),Toledo (TOLE),3:18,3:31,3:47,3:44,3:48,3:52,22:01.9,5:54
Great Lakes Regional,69,215,Libby Bowling (SO),Iupui (IUPU),3:23,3:33,3:46,3:38,3:46,3:55,22:03.5,5:55
Great Lakes Regional,70,390,Mary Abramson (SR),Purdue (PURD),3:22,3:33,3:46,3:42,3:50,3:49,22:04.8,5:55
Great Lakes Regional,71,45,Maddie Mclain (FR),Butler (BUTL),3:25,3:37,3:49,3:39,3:46,3:48,22:05.4,5:55
Great Lakes Regional,72,202,Alli Workman (JR),Indiana State (INST),3:22,3:33,3:43,3:41,3:47,3:58,22:06.2,5:56
Great Lakes Regional,73,426,Stephanie Sherman (JR),Toledo (TOLE),3:20,3:38,3:48,3:46,3:44,3:48,22:07.0,5:56
Great Lakes Regional,74,374,Sarah Kanney (SR),Ohio State (OHST),3:19,3:32,3:45,3:47,3:51,3:51,22:08.0,5:56
Great Lakes Regional,75,396,Megan Slamkowski (SO),Purdue (PURD),3:22,3:33,3:46,3:47,3:53,3:45,22:09.4,5:56
Great Lakes Regional,76,44,Margo Hornocker (FR),Butler (BUTL),3:25,3:37,3:49,3:40,3:50,3:47,22:09.5,5:56
Great Lakes Regional,77,397,Isabelle Sparreo (FR),Purdue (PURD),3:23,3:37,3:51,3:44,3:49,3:42,22:09.9,5:56
Great Lakes Regional,78,178,Kelsey Harris (JR),Indiana (IU),3:21,3:32,3:44,3:47,3:54,3:49,22:10.3,5:57
Great Lakes Regional,79,530,Jennie Prial (SO),Xavier (Ohio)(XAVI),3:24,3:41,3:49,3:42,3:45,3:47,22:10.7,5:57
Great Lakes Regional,80,429,Claire Steigerwald (FR),Toledo (TOLE),3:20,3:34,3:49,3:44,3:51,3:52,22:11.7,5:57
Great Lakes Regional,81,512,Aurora Turner (SR),Wright State (WRST),3:26,3:38,3:44,3:40,3:45,3:55,22:11.9,5:57
Great Lakes Regional,82,96,Anna Brandt (SO),Cleveland St. (CLST),3:20,3:34,3:50,3:47,3:53,3:46,22:12.8,5:57
Great Lakes Regional,83,495,Rachel Werking (SO),Wisconsin (WISC),3:23,3:36,3:52,3:45,3:47,3:48,22:12.9,5:57
Great Lakes Regional,84,4,Haley Hess (JR),Akron (AKR),3:26,3:39,3:48,3:42,3:48,3:47,22:13.1,5:58
Great Lakes Regional,85,64,Kirsten Olling (SR),Central Michigan (CMU),3:25,3:37,3:49,3:43,3:50,3:48,22:13.7,5:58
Great Lakes Regional,86,30,Katerina Shuble (FR),Bowling Green (BGSU),3:23,3:39,3:53,3:50,3:51,3:37,22:14.7,5:58
Great Lakes Regional,87,79,Hannah Markel (SO),Cincinnati (CINC),3:28,3:41,3:46,3:44,3:48,3:49,22:19.1,5:59
Great Lakes Regional,88,160,Anna Lowry (SO),Evansville (EVAN),3:25,3:40,3:50,3:45,3:50,3:45,22:19.3,5:59
Great Lakes Regional,89,255,Claire Linn (JR),Miami (Ohio)(MIAO),3:20,3:35,3:47,3:48,3:57,3:50,22:19.5,5:59
Great Lakes Regional,90,563,Emily Royston,Wis.-Milwaukee (MILW),3:26,3:38,3:47,3:44,3:50,3:52,22:20.8,5:59
Great Lakes Regional,91,372,Brittany Atkinson (SR),Ohio State (OHST),3:25,3:36,3:50,3:45,3:51,3:52,22:22.0,6:00
Great Lakes Regional,92,393,Gabrielle Broschard (SR),Purdue (PURD),3:22,3:32,3:47,3:43,3:51,4:04,22:22.2,6:00
Great Lakes Regional,93,46,Corinna Pena (FR),Butler (BUTL),3:29,3:40,3:55,3:47,3:48,3:40,22:22.2,6:00
Great Lakes Regional,94,489,Kristen Garcia (FR),Wisconsin (WISC),3:23,3:35,3:51,3:47,3:53,3:51,22:22.6,6:00
Great Lakes Regional,95,507,Hailey Brumfield (SR),Wright State (WRST),3:27,3:41,3:50,3:43,3:50,3:50,22:23.8,6:00
